,1,2,4,5,6,7,8,9,11,12,13,14,15,16,17,19,21,22,24,25,26,27,28,30,31,32,37,38,39,41,3_2,3,29_25,29,36_33,36,40_28,40,18_16,18,20_18,20,23_20,23,35_22,35,34_29,10_8,10,34_28,34_28_34,34
36000,-2.0136065e-11,-0.0023306892,-0.0010837524,-0.0023253676,-0.0058976714,-0.006673681,0.0021728263,-0.009467316,-0.011640142,-0.017038064,-0.019521294,-0.024459565,-0.03221966,0.0046278676,0.008098687,0.0052433293,0.0012751499,0.0074496907,-0.00022445577,0.0022420804,-0.04233597,-0.040628754,-0.04357759,0.0055872686,0.0029488357,0.0017072208,-0.0004991404,0.00035367874,0.00046560567,0.0001552019,0.0010890741,0.0010890741,-0.050096065,-0.050096065,0.00023280283,0.00023280283,0.000111926915,0.000111926915,0.00024867986,0.00024867983,0.002139292,0.002139292,0.0022587746,0.0022587746,0.00046560567,0.00046560567,0.00026712887,0.00077600946,0.00077600946,0.00026712884,0.00026712887,0.00026712884
39600,-2.0136065e-11,-0.0009190116,-0.0004273333,-0.0009169132,-0.0023255048,-0.0026314922,0.0008567649,-0.0037330473,-0.004589812,-0.006718261,-0.0076974207,-0.009644625,-0.0127045,0.0018248095,0.003193385,0.0020674919,0.000502803,0.0029374799,-8.850487e-05,0.0008840724,-0.016693454,-0.01602028,-0.017183032,0.0022031097,0.0011627523,0.00067317224,-0.00019681553,0.00013945863,0.00018359248,6.11975e-05,0.00042943165,0.00042943165,-0.019753326,-0.019753326,9.179633e-05,9.179624e-05,4.4133805e-05,4.4133852e-05,9.8056735e-05,9.8056735e-05,0.0008435419,0.0008435418,0.00089065504,0.00089065504,0.0001835926,0.00018359257,0.000105331135,0.00030598743,0.00030598746,0.00010533127,0.000105331186,0.00010533121
43200,0.03504787,0.028934212,0.0048367097,0.004372366,0.032842234,0.032552022,0.0008126017,0.031507246,0.030694645,0.02867591,0.027747221,0.022926858,0.020024708,0.0047042784,5.5247307e-05,0.0011348962,0.0013029099,0.0027860631,-8.394285e-05,0.00083850155,0.019214902,0.019853376,0.018750558,0.0020895472,0.0011028167,0.0006384728,-0.001012695,0.0001322701,0.00017412895,5.8042984e-05,0.005649311,0.005649311,0.016312752,0.016312752,8.706443e-05,8.706447e-05,4.18588e-05,4.1858857e-05,0.0022405086,0.0022405086,-2.596471e-05,-2.5964342e-05,0.0008447449,0.0008447449,0.00017412884,0.00017412889,9.990182e-05,0.0002902149,0.0002902149,9.9901874e-05,9.990182e-05,9.9901845e-05
46800,0.043809835,0.03654672,0.0063192863,0.0059760762,0.042179585,0.041965075,0.0006006188,0.041192856,0.040592235,0.039100125,0.038413707,0.03222324,0.030078169,0.0061046635,-0.0025867543,-6.14718e-05,0.0018633278,0.002059264,-6.204472e-05,0.000619762,0.032107208,0.032579124,0.031763997,0.0015444483,0.0008151256,0.0004719149,-0.0016488212,9.776494e-05,0.000128704,4.290133e-05,0.0069199055,0.0069199055,0.02996214,0.02996214,6.4351996e-05,6.4352e-05,3.0939293e-05,3.0939063e-05,0.003383309,0.003383309,-0.00091949856,-0.00091949845,0.00062437664,0.00062437664,0.00012870396,0.00012870396,7.3840565e-05,0.00021450671,0.00021450668,7.384064e-05,7.384064e-05,7.3840616e-05
50400,0.043809835,0.035945117,0.005879899,0.005158147,0.040381514,0.03993042,0.0012630658,0.03830648,0.03704341,0.033905596,0.03246209,0.02656933,0.022058379,0.005712324,0.0016856329,0.0022883061,0.0015008914,0.004330511,-0.00013047628,0.0013033232,0.0191999,0.020192308,0.01847815,0.0032478834,0.0017141608,0.0009924088,-0.0010497965,0.00020559372,0.00027065695,9.021899e-05,0.0071429648,0.0071429648,0.014688949,0.014688949,0.00013532853,0.00013532848,6.506322e-05,6.5063236e-05,0.0024070528,0.0024070528,0.00048392618,0.00048392627,0.0013130275,0.0013130275,0.000270657,0.000270657,0.00015528219,0.00045109494,0.00045109494,0.00015528225,0.00015528222,0.00015528219
54000,0.043809835,0.036603633,0.006359533,0.0060516526,0.042347405,0.042154983,0.00053879037,0.04146225,0.04092346,0.03958495,0.03896919,0.03280152,0.03087727,0.006090696,-0.0029349246,-0.00026749817,0.0018838691,0.0018472811,-5.565774e-05,0.000555963,0.03331189,0.033735227,0.033004012,0.0013854607,0.00073121535,0.00042333518,-0.001691444,8.7700755e-05,0.00011545507,3.848502e-05,0.006898323,0.006898323,0.03138764,0.03138764,5.7727535e-05,5.7727535e-05,2.7754322e-05,2.7754308e-05,0.0034371268,0.0034371268,-0.0010371986,-0.0010371986,0.00056010264,0.00056010264,0.00011545507,0.00011545507,6.6239285e-05,0.00019242513,0.00019242513,6.623915e-05,6.623921e-05,6.623916e-05
57600,0.043809835,0.036848973,0.006530583,0.006374119,0.043066632,0.04296884,0.00027381146,0.0426168,0.04234299,0.041662764,0.041349836,0.035360515,0.034382623,0.0059501994,-0.0043464466,-0.001113432,0.0019348664,0.00093878194,-2.8285198e-05,0.00028253844,0.038474813,0.038689952,0.03831835,0.0007040863,0.000371601,0.00021513728,-0.0018370765,4.4569144e-05,5.8673882e-05,1.9557961e-05,0.0068043945,0.0068043945,0.03749692,0.03749692,2.9336814e-05,2.9336941e-05,1.4104655e-05,1.41047385e-05,0.0036241738,0.0036241738,-0.0015045912,-0.0015045912,0.00028464216,0.00028464218,5.8673628e-05,5.867367e-05,3.3662396e-05,9.7789874e-05,9.778981e-05,3.3662523e-05,3.3662523e-05,3.3662403e-05
61200,0.0065714754,0.004978278,0.00051056955,0.0001168867,0.004701482,0.00445543,0.000688945,0.0035696437,0.0028806985,0.0011691625,0.00038179662,-0.0016493528,-0.0041098706,0.0019327288,0.0021025203,0.0015862975,0.00048053745,0.0023620971,-7.116888e-05,0.0007109036,-0.0068521257,-0.0063108117,-0.007245809,0.0017715727,0.00093499693,0.000541314,-0.00023448563,0.00011214206,0.00014763107,4.9210357e-05,0.0011995145,0.0011995145,-0.009312644,-0.009312644,7.381554e-05,7.3815536e-05,3.5488854e-05,3.5489003e-05,0.00046798427,0.00046798433,0.0006020904,0.00060209044,0.00071619684,0.00071619684,0.00014763109,0.0001476311,8.469942e-05,0.00024605176,0.0002460518,8.469931e-05,8.469942e-05,8.4699415e-05
64800,-2.0136065e-11,-0.00035055136,-0.00016300294,-0.00034974993,-0.0008870483,-0.0010037652,0.00032680723,-0.0014239458,-0.0017507531,-0.0025626358,-0.0029361297,-0.0036788823,-0.004846051,0.00069606595,0.0012180909,0.00078861316,0.00019180875,0.001120482,-3.375963e-05,0.00033722346,-0.0063676056,-0.0061108284,-0.006554352,0.000840361,0.0004435236,0.00025677664,-7.509187e-05,5.319544e-05,7.0030124e-05,2.3343375e-05,0.00016380432,0.0001638043,-0.0075347745,-0.0075347745,3.5015095e-05,3.5015062e-05,1.683459e-05,1.6834683e-05,3.738984e-05,3.7389837e-05,0.00032174567,0.0003217455,0.0003397344,0.00033973437,7.0030095e-05,7.00301e-05,4.0177736e-05,0.00011671688,0.00011671687,4.0177736e-05,4.017784e-05,4.0177714e-05
68400,6.1016005e-11,-0.00063478126,-0.0002951683,-0.0006333318,-0.0016062764,-0.0018176287,0.000591786,-0.0025784965,-0.0031702826,-0.0046404484,-0.005316775,-0.006661752,-0.008775273,0.0012604354,0.0022057402,0.0014280614,0.00034729694,0.0020289808,-6.1132225e-05,0.00061064796,-0.011530528,-0.011065554,-0.011868693,0.0015217358,0.0008031384,0.00046497493,-0.00013594475,9.632722e-05,0.0001268113,4.2270436e-05,0.00029661777,0.00029661777,-0.013644051,-0.013644051,6.3405656e-05,6.340565e-05,3.0484389e-05,3.0484085e-05,6.7729954e-05,6.772991e-05,0.00058265263,0.00058265263,0.00061519473,0.00061519473,0.00012681134,0.00012681128,7.275471e-05,0.00021135209,0.00021135216,7.275477e-05,7.275477e-05,7.275471e-05
72000,2.2510531e-10,-0.0011937675,-0.0005550927,-0.0011910419,-0.0030207587,-0.003418227,0.0011129112,-0.0048491126,-0.005962024,-0.008726813,-0.009998712,-0.012528069,-0.016502753,0.0023703713,0.0041481084,0.0026856079,0.0006531256,0.0038156952,-0.00011496516,0.0011483826,-0.021684278,-0.020809848,-0.022320228,0.0028617715,0.0015103794,0.0008744301,-0.00025565727,0.00018115249,0.00023848095,7.949365e-05,0.00055781845,0.00055781845,-0.02565896,-0.02565896,0.00011924047,0.000119240474,5.7328372e-05,5.7328467e-05,0.00012737262,0.00012737264,0.0010957348,0.0010957348,0.0011569333,0.0011569333,0.00023848093,0.00023848093,0.00013682205,0.00039746828,0.00039746828,0.00013682203,0.00013682205,0.00013682204
75600,3.3562356e-10,-0.0014779978,-0.00068725756,-0.0014746233,-0.0037399868,-0.0042320904,0.00137789,-0.006003663,-0.007381553,-0.010804626,-0.012379357,-0.015510945,-0.020431979,0.0029347453,0.005135753,0.0033250381,0.00080863165,0.0047241943,-0.00014233778,0.0014218071,-0.026847202,-0.025764573,-0.027634567,0.0035431455,0.0018699934,0.0010826277,-0.00031652805,0.00022428404,0.00029526214,9.8420714e-05,0.0006906323,0.0006906323,-0.031768236,-0.031768236,0.00014763112,0.00014763107,7.097798e-05,7.0978094e-05,0.00015769943,0.00015769944,0.001356624,0.001356624,0.0014323937,0.0014323937,0.00029526217,0.00029526217,0.00016939871,0.0004921036,0.0004921036,0.00016939871,0.00016939871,0.00016939871
79200,-4.671218e-10,-0.0011274477,-0.0005242543,-0.0011248728,-0.0028529393,-0.003228326,0.0010510827,-0.004579718,-0.005630801,-0.008241991,-0.009443228,-0.011832067,-0.015585934,0.0022386839,0.003917658,0.0025364074,0.0006168408,0.0036037122,-0.00010857821,0.0010845835,-0.020479597,-0.019653745,-0.021080215,0.0027027843,0.0014264692,0.0008258506,-0.0002414541,0.00017108842,0.00022523201,7.507733e-05,0.00052682846,0.00052682846,-0.024233462,-0.024233462,0.00011261597,0.000112616006,5.4143442e-05,5.414358e-05,0.000120296325,0.000120296325,0.0010348606,0.0010348607,0.0010926592,0.0010926592,0.00022523198,0.00022523195,0.0001292208,0.00037538665,0.00037538668,0.0001292208,0.0001292208,0.00012922079
82800,-9.886154e-11,-0.0011937681,-0.00055509276,-0.0011910419,-0.0030207592,-0.0034182274,0.0011129112,-0.004849113,-0.0059620244,-0.008726814,-0.009998713,-0.012528071,-0.016502753,0.0023703713,0.0041481084,0.0026856079,0.0006531256,0.0038156952,-0.00011496516,0.0011483826,-0.02168428,-0.020809848,-0.022320228,0.0028617715,0.0015103794,0.0008744301,-0.00025565727,0.00018115254,0.00023848095,7.949365e-05,0.0005578184,0.0005578184,-0.02565896,-0.02565896,0.00011924047,0.000119240474,5.732845e-05,5.7328416e-05,0.0001273726,0.00012737256,0.0010957348,0.0010957348,0.0011569333,0.0011569333,0.00023848095,0.0002384809,0.00013682205,0.00039746828,0.00039746828,0.00013682205,0.0001368221,0.0001368221
86400,0.02409541,0.019918283,0.0033443347,0.0030415016,0.022656953,0.022467682,0.00052995764,0.021786308,0.021256348,0.019939784,0.019334119,0.015982544,0.014089837,0.0032758669,-0.00017182871,0.00067029457,0.00091957883,0.0018169977,-5.474535e-05,0.00054684875,0.013769562,0.014185957,0.013466729,0.0013627483,0.00071922824,0.00041639528,-0.00073030824,8.626309e-05,0.00011356235,3.7854123e-05,0.0038742924,0.0038742924,0.011876855,0.011876855,5.6781104e-05,5.6781177e-05,2.7299153e-05,2.7299266e-05,0.0015992057,0.0015992057,-8.678805e-05,-8.678817e-05,0.00055092055,0.00055092055,0.00011356229,0.00011356229,6.515336e-05,0.00018927059,0.00018927059,6.515336e-05,6.515344e-05,6.515335e-05
