,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,2_3,25_29,33_36,28_40,16_18,18_20,20_23,22_35,29_34,8_10,28_34,28_34_34,26
39600,89.0434,89.0434,89.04226,89.043304,89.04379,89.047134,89.05657,89.0563,89.05924,89.056046,89.06611,89.1038,89.11911,89.13461,89.153984,89.09992,89.09989,89.09832,89.098274,89.1299,89.12549,89.12556,89.243004,89.17878,89.276886,89.273155,89.2723,89.27235,89.2721,89.27537,89.098175,89.125374,89.12535,89.27229,89.27229,89.0434,89.27693,89.125374,89.2723,89.09992,89.09832,89.1299,89.12556,89.27235,89.0563,89.2723,89.2723,89.30617
43200,93.005135,91.99043,91.855576,91.76222,91.75327,91.30346,90.30789,90.30764,90.169044,90.30741,89.93755,89.383575,89.21899,89.14193,89.09695,89.10815,89.09692,89.0964,89.09854,89.13765,89.13365,89.133705,88.97671,89.06004,88.93688,88.9335,88.93273,88.93277,88.932556,88.93551,89.0964,89.133545,89.13353,88.932724,88.932724,91.990395,88.93685,89.133545,88.93273,89.10813,89.0964,89.13765,89.133705,88.93277,90.30764,88.93273,88.93273,88.91633
46800,96.06455,94.530594,94.33422,94.18105,94.165085,93.45012,91.85656,91.85642,91.62846,91.85629,91.240005,90.256256,89.95563,89.81088,89.71533,89.77604,89.751945,89.751945,89.75742,89.80844,89.80617,89.80619,89.40733,89.62301,89.30162,89.2997,89.29925,89.29928,89.29916,89.30084,89.75212,89.8061,89.80609,89.29925,89.29925,94.53054,89.30152,89.8061,89.29925,89.77603,89.751945,89.80844,89.80619,89.29928,91.85642,89.29925,89.29925,89.23827
50400,95.6659,94.13193,93.92368,93.78964,93.77749,93.11794,91.66452,91.66394,91.46513,91.66342,91.13721,90.38172,90.16161,90.060356,90.00655,90.002815,89.98999,89.9881,89.99034,90.05068,90.04164,90.04177,89.88526,89.96848,89.8465,89.838844,89.8371,89.83719,89.8367,89.8434,89.988045,90.04139,90.04135,89.837074,89.83708,94.13188,89.84647,90.04139,89.8371,90.00281,89.9881,90.05068,90.04177,89.83719,91.66394,89.8371,89.8371,89.82958
54000,97.04939,95.51543,95.32019,95.16521,95.148865,94.42862,92.82169,92.82157,92.59082,92.821465,92.196465,91.19002,90.88128,90.73169,90.63138,90.702446,90.67765,90.67767,90.68345,90.72969,90.72783,90.72785,90.301994,90.53289,90.18852,90.18694,90.18658,90.1866,90.18649,90.18788,90.6779,90.727776,90.72777,90.18657,90.18658,95.51538,90.1884,90.727776,90.18658,90.70244,90.67767,90.72969,90.72785,90.1866,92.82157,90.18658,90.18658,90.11947
57600,98.134346,96.60037,96.410034,96.247246,96.229256,95.48619,93.82133,93.8213,93.57841,93.82126,93.158356,92.05188,91.70731,91.53539,91.41298,91.536064,91.5087,91.50919,91.5161,91.53482,91.53429,91.534294,90.98452,91.28604,90.83489,90.83445,90.83434,90.83434,90.83432,90.83472,91.50963,91.53427,91.53427,90.83434,90.83434,96.60033,90.83475,91.53427,90.83434,91.53604,91.50919,91.53482,91.534294,90.83434,93.8213,90.83434,90.83434,90.73892
61200,91.54409,91.49838,91.49073,91.48928,91.48927,91.47698,91.45196,91.45176,91.449486,91.45159,91.446594,91.445114,91.44506,91.44565,91.44804,91.42371,91.4231,91.42214,91.4222,91.4425,91.43955,91.43959,91.464806,91.45245,91.47165,91.46916,91.46858,91.46862,91.46847,91.47064,91.42206,91.43947,91.43946,91.46858,91.46858,91.49838,91.471664,91.43947,91.46858,91.42371,91.42214,91.4425,91.43959,91.46862,91.45176,91.46858,91.46858,91.47893
64800,91.251045,91.251045,91.25085,91.25103,91.251114,91.25167,91.25326,91.253204,91.25371,91.25317,91.25485,91.26118,91.26375,91.26635,91.2696,91.26054,91.26052,91.26026,91.260254,91.26556,91.264824,91.26483,91.28454,91.27376,91.29022,91.289604,91.28945,91.28946,91.28942,91.28997,91.26024,91.2648,91.26479,91.28945,91.28945,91.251045,91.29023,91.2648,91.28945,91.26054,91.26026,91.26556,91.26483,91.28946,91.253204,91.28945,91.28945,91.295135
68400,91.014015,91.014015,91.01344,91.01396,91.01421,91.0159,91.02065,91.02051,91.021996,91.020386,91.02546,91.04446,91.05216,91.059975,91.06975,91.0425,91.04248,91.04169,91.04167,91.05761,91.05538,91.05541,91.11461,91.08224,91.131676,91.1298,91.12937,91.12939,91.12927,91.13091,91.04162,91.05533,91.055305,91.12936,91.12937,91.01401,91.13171,91.05533,91.12937,91.0425,91.04169,91.05761,91.05541,91.12939,91.02051,91.12937,91.12937,91.14644
72000,90.45063,90.45063,90.44877,90.45047,90.45127,90.456696,90.472015,90.47156,90.47635,90.471146,90.48748,90.54867,90.573524,90.59869,90.63013,90.54238,90.54233,90.53978,90.5397,90.59103,90.58388,90.58398,90.774635,90.67037,90.82963,90.82357,90.82219,90.822266,90.821884,90.82717,90.539536,90.58368,90.58366,90.82218,90.82218,90.45063,90.829704,90.58368,90.82219,90.54238,90.53978,90.59103,90.58398,90.822266,90.47156,90.82219,90.82219,90.87717
75600,89.73729,89.73729,89.734535,89.73705,89.73824,89.74629,89.76905,89.76837,89.7755,89.76777,89.79203,89.8829,89.919815,89.95718,90.003876,89.87356,89.873474,89.8697,89.86958,89.945816,89.93519,89.93534,90.21849,90.06366,90.30017,90.291176,90.28912,90.28923,90.288666,90.29654,89.86935,89.934906,89.93485,90.2891,90.289116,89.73729,90.30029,89.934906,90.28912,89.87356,89.8697,89.945816,89.93534,90.28923,89.76837,90.28912,90.28912,90.37078
79200,89.36013,89.36013,89.35846,89.359985,89.36072,89.365585,89.37937,89.37895,89.38327,89.37859,89.39329,89.44832,89.47068,89.49332,89.5216,89.442665,89.44262,89.44033,89.44026,89.486435,89.48,89.480095,89.65159,89.55781,89.701065,89.69562,89.69437,89.694435,89.69409,89.69886,89.44012,89.47982,89.4798,89.69436,89.69436,89.36013,89.70113,89.47982,89.69437,89.442665,89.44033,89.48643,89.480095,89.694435,89.37895,89.69437,89.69437,89.74383
82800,88.839035,88.839035,88.83717,88.838875,88.839676,88.8451,88.86042,88.85996,88.86475,88.85955,88.875885,88.93707,88.96193,88.98709,89.01853,88.930786,88.93073,88.928185,88.92811,88.97944,88.97228,88.97238,89.16304,89.05878,89.21803,89.21198,89.210594,89.21067,89.21029,89.215576,88.92794,88.972084,88.97206,89.21059,89.21059,88.839035,89.21811,88.972084,89.210594,88.930786,88.928185,88.97944,88.97238,89.21067,88.85996,89.210594,89.210594,89.26558
86400,90.82711,90.32015,90.25309,90.205956,90.20138,89.97522,89.47419,89.474075,89.404076,89.47397,89.28685,89.004196,88.91989,88.8804,88.85694,88.86319,88.857185,88.85699,88.85816,88.878456,88.87665,88.87667,88.79218,88.837135,88.7706,88.76907,88.76872,88.76874,88.76864,88.76999,88.85699,88.876595,88.876595,88.768715,88.76872,90.320145,88.770584,88.876595,88.76872,88.86319,88.85699,88.878456,88.87667,88.76874,89.474075,88.76872,88.76872,88.759186
