,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,2_1,5_5,7_7,13_16,14_22,15_27,16_18,17_17,20_23,22_35,25_29,28_40,29_38,35_39,26
36000,73.582016,58.342014,70.52762,70.53347,58.34425,50.74295,40.127865,55.366287,34.04684,49.26888,32.561275,25.1525,25.238329,28.373198,31.529741,43.41875,34.274567,58.649788,43.409534,37.49076,43.562077,28.322418,19.836826,31.668886,20.026693,50.485794,56.57701,56.57727,50.47994,32.21024,55.60096,34.417397,31.369284,56.57696,56.576973,58.342014,58.34425,40.127853,25.2383,28.373188,31.529915,43.41875,34.27463,37.49076,28.322418,20.026962,56.57701,56.57727,56.57696,18.666832
39600,73.80336,58.563366,70.75422,70.75526,58.563763,50.94709,40.288536,55.528255,34.195213,49.432003,32.67807,25.09576,25.11107,28.174576,31.241943,43.37988,34.235844,58.61828,43.378235,37.31386,43.40545,28.165518,19.138998,31.26677,19.172886,49.649155,55.744297,55.744347,49.6481,31.363369,55.570133,34.261333,31.213314,55.744286,55.744286,58.563366,58.563763,40.288536,25.11107,28.174576,31.24198,43.37988,34.23585,37.31386,28.165518,19.172932,55.744297,55.744347,55.744286,17.678167
43200,77.765434,61.510597,73.56776,73.474396,61.273438,53.203632,41.539948,56.779682,35.3051,50.683464,33.549595,25.375624,25.211037,28.181973,31.184988,43.388187,34.23296,58.616436,43.378586,37.321693,43.4137,28.173758,18.872707,31.148043,18.832878,49.30949,55.404716,55.404766,49.30855,31.02351,55.568436,34.269592,31.221573,55.404705,55.404716,61.51074,61.27345,41.540066,25.21101,28.181973,31.184942,43.388176,34.23296,37.321693,28.173758,18.83284,55.404716,55.404766,55.404705,17.28833
46800,80.82507,64.050896,76.04656,75.89337,63.685394,55.350433,43.08869,58.32854,36.76459,52.23241,34.85213,26.248388,25.947754,28.85101,31.803442,44.056145,34.888054,59.272064,44.037533,37.99256,44.086285,28.846313,19.303333,31.711002,19.197618,49.67569,55.771244,55.77127,49.67514,31.388838,56.224228,34.94222,31.89421,55.771244,55.771244,64.05111,63.685402,43.088882,25.947718,28.85101,31.803322,44.056137,34.888054,37.99256,28.846313,19.197515,55.771244,55.77127,55.771244,17.610264
50400,80.42632,63.65215,75.635925,75.50188,63.297714,55.018166,42.896572,58.135983,36.601177,52.039474,34.749264,26.373775,26.15367,29.100407,32.094597,44.28284,35.126022,59.508133,44.270374,38.234726,44.321682,29.081814,19.781256,32.05648,19.742496,50.21484,56.30909,56.309185,50.212704,31.931398,56.46008,35.17744,32.129395,56.309074,56.309086,63.652363,63.297714,42.896748,26.153631,29.100399,32.09455,44.28284,35.126022,38.234726,29.081814,19.74247,56.30909,56.309185,56.309074,18.201576
54000,81.80992,65.03575,77.03254,76.87754,64.66919,56.328953,44.05382,59.2937,37.72695,53.1976,35.8086,27.182146,26.873419,29.77182,32.71951,44.982567,35.813766,60.1978,44.96358,38.91382,45.007957,29.767977,20.197994,32.62089,20.084513,50.562943,56.658577,56.658596,50.562496,32.27588,57.150017,35.863903,32.815895,56.658566,56.658566,65.03596,64.6692,44.054016,26.873371,29.77182,32.719376,44.982555,35.81376,38.91382,29.767977,20.0844,56.658577,56.658596,56.658566,18.491465
57600,82.89492,66.12074,78.12243,77.959625,65.74962,57.386562,45.0535,60.293465,38.714584,54.19743,36.770527,28.044056,27.69948,30.575556,33.501137,45.816216,36.64486,61.02935,45.79626,39.718987,45.814457,30.57446,20.88052,33.37404,20.730892,51.210445,57.30634,57.30634,51.21031,32.922714,57.98179,36.67044,33.62244,57.30634,57.30634,66.12096,65.74963,45.053703,27.699444,30.575556,33.50097,45.816204,36.64484,39.718987,30.57446,20.730734,57.30634,57.30634,57.30634,19.110907
61200,76.304085,61.018375,73.20273,73.20128,61.009266,53.376976,42.68394,57.92375,36.58548,51.827587,35.058586,27.437107,27.43705,30.485636,33.536034,45.7037,36.55909,60.94212,45.702187,39.62649,45.719543,30.47959,21.360798,33.540455,21.367643,51.845158,57.940582,57.94062,51.84446,33.55864,57.894043,36.57547,33.52745,57.940582,57.940582,61.018387,61.009266,42.68394,27.43704,30.485636,33.536034,45.7037,36.55909,39.626484,30.47959,21.367662,57.940582,57.94062,57.940582,19.850927
64800,76.01103,60.771034,72.96284,72.96301,60.7711,53.151653,42.485245,57.725197,36.389694,51.629154,34.866848,27.253172,27.255741,30.306343,33.35759,45.540524,36.39651,60.78025,45.540245,39.449543,45.54481,30.30482,21.180538,33.36176,21.186222,51.665596,57.76145,57.761456,51.665424,33.37797,57.732224,36.40079,33.352783,57.76145,57.76145,60.771034,60.7711,42.485245,27.255741,30.306343,33.357597,45.540524,36.39651,39.449543,30.30482,21.186232,57.76145,57.761456,57.76145,19.667133
68400,75.77399,60.53399,72.72542,72.72594,60.53419,52.915874,42.25263,57.49249,36.157978,51.39636,34.63744,27.03643,27.044144,30.099957,33.157722,45.32247,36.17846,60.56167,45.321644,39.241585,45.33536,30.09539,21.010605,33.170235,21.027674,51.505795,57.601364,57.601387,51.50526,33.21891,57.513596,36.191296,33.143288,57.60136,57.60136,60.53399,60.53419,42.25263,27.044144,30.099957,33.157734,45.32247,36.17846,39.241585,30.09539,21.027702,57.601364,57.601387,57.60136,19.518436
72000,75.210556,59.97056,72.160706,72.16241,59.971214,52.356625,41.703957,56.9435,35.61229,50.84709,34.099422,26.540611,26.565466,29.638626,32.718067,44.822304,35.67825,60.059708,44.819633,38.77497,44.863815,29.62392,20.670626,32.758373,20.725628,51.19957,57.29418,57.29426,51.197876,32.915173,57.011467,35.719624,32.671593,57.294167,57.294174,59.97056,59.971214,41.703957,26.565456,29.638626,32.71812,44.822304,35.67827,38.77497,29.62392,20.7257,57.29418,57.29426,57.294167,19.249168
75600,74.4972,59.2572,71.44644,71.44897,59.258156,51.646206,41.000965,56.240288,34.91141,50.14368,33.403942,25.87481,25.91173,28.997105,32.09179,44.153454,35.00937,59.389603,44.14949,38.129726,44.215103,28.975254,20.114492,32.151653,20.19617,50.667175,56.76112,56.761234,50.664665,32.384533,56.341236,35.070816,32.02277,56.761097,56.761097,59.2572,59.258156,41.000965,25.911718,28.997093,32.091873,44.153454,35.009396,38.129726,28.975254,20.196283,56.76112,56.761234,56.761097,18.74278
79200,74.12006,58.88007,71.070404,71.07193,58.880657,51.265533,40.611313,55.850903,34.519222,49.75453,33.00523,25.44027,25.46263,28.533262,31.609547,43.722603,34.57855,58.960266,43.720196,37.67038,43.75994,28.520035,19.547588,31.645805,19.597054,50.07161,56.166363,56.166428,50.070084,31.78686,55.91205,34.615765,31.567738,56.166355,56.166355,58.88007,58.880657,40.611313,25.462622,28.533262,31.609596,43.722603,34.578568,37.67038,28.520035,19.59713,56.166363,56.166428,56.166355,18.115824
82800,73.59896,58.358963,70.54911,70.55081,58.35962,50.745033,40.09236,55.331905,34.000694,49.235497,32.487827,24.929016,24.953873,28.027033,31.106474,43.21071,34.066654,58.448112,43.20804,37.163376,43.252224,28.012327,19.05903,31.146776,19.114033,49.587975,55.68259,55.682663,49.586285,31.303577,55.39987,34.10803,31.06,55.68257,55.68258,58.358963,58.35962,40.09236,24.953861,28.027033,31.106527,43.21071,34.066673,37.163376,28.012327,19.114107,55.68259,55.682663,55.68257,17.637573
86400,75.58726,59.840233,71.96518,71.91804,59.72147,51.875298,40.70621,55.94609,34.540096,49.849987,32.898876,24.996222,24.91192,27.920414,30.944956,43.143208,33.9932,58.377003,43.138176,37.06248,43.156666,27.916697,18.68817,30.925135,18.6666,49.14506,55.24072,55.240738,49.144638,30.857977,55.329002,34.01262,30.96461,55.240707,55.240707,59.840305,59.72147,40.706264,24.911911,27.920414,30.94493,43.143208,33.9932,37.06248,27.916697,18.66658,55.24072,55.240738,55.240707,17.131187
